Angle,Steps
-10.79,2
-10.72,2
-10.49,2
-10.44,2
-10.71,2
-10.86,2
-10.9,2
-10.94,2
-10.97,2
-10.83,2
-10.63,2
-10.39,2
-10.07,2
-9.92,2
-9.98,2
-9.87,2
-9.95,2
-10.01,2
-9.95,2
-9.95,2
-9.97,2
-9.96,2
-9.89,2
-9.76,2
-9.56,2
-9.31,2
-9.14,2
-9.08,2
-9.11,2
-9.22,2
-9.36,2
-9.41,2
-9.45,2
-9.39,2
-9.3,2
-9.2,2
-9.09,2
-8.9,2
-8.77,2
-8.63,2
-8.54,2
-8.51,2
-8.58,2
-8.59,2
-8.36,2
-8.3,2
-8.2,2
-8.02,2
-7.95,2
-7.75,2
-7.57,2
-7.41,2
-7.25,2
-7.09,2
-7.11,2
-7.1,2
-7.06,2
-7.04,2
-6.98,2
-6.87,2
-6.81,2
-6.69,2
-6.56,2
-6.41,2
-6.27,2
-6.14,2
-6.07,2
-6.11,2
-6.17,2
-6.25,2
-6.28,2
-6.3,2
-6.31,2
-6.31,2
-6.25,2
-6.16,2
-6.05,2
-5.94,2
-5.78,2
-5.7,2
-5.62,2
-5.56,2
-5.53,2
-5.43,2
-5.34,2
-5.25,2
-5.15,2
-4.99,2
-4.87,2
-4.78,2
-4.71,2
-4.62,2
-4.6,2
-4.53,2
-4.47,2
-4.37,2
-4.26,2
-4.16,2
-4.06,2
-3.92,2
-3.82,2
-3.65,2
-3.57,2
-3.4,2
-3.32,2
-3.21,2
-3.17,2
-3.1,2
-3.05,2
-2.97,2
-2.88,2
-2.81,2
-2.73,2
-2.59,2
-2.55,2
-2.49,2
-2.4,2
-2.37,2
-2.28,2
-2.23,2
-2.16,2
-2.1,2
-2.03,2
-1.96,2
-1.9,2
-1.86,2
-1.83,2
-1.83,2
-1.81,2
-1.75,2
-1.69,2
-1.62,2
-1.58,2
-1.51,2
-1.5,2
-1.43,2
-1.38,2
-1.3,2
-1.23,2
-1.17,2
-1.14,2
-1.1,2
-1.06,2
-0.98,2
-0.87,2
-0.63,2
-0.05,2
-0.59,2
-0.46,2
-0.55,2
-0.89,2
-0.94,2
-0.82,2
-0.65,2
-0.56,2
-0.54,2
-0.59,2
-0.69,2
-0.88,2
-0.95,2
-0.95,2
-0.89,2
-0.79,2
-0.65,2
-0.59,2
-0.52,2
-0.46,2
-0.42,2
-0.39,2
-0.3,2
-0.23,2
-0.1,2
0.0,2
0.09,2
0.14,2
0.19,2
0.22,2
0.23,2
0.26,2
0.3,2
0.3,2
0.3,2
0.26,2
0.27,2
0.28,2
0.29,2
0.29,2
0.29,2
0.33,2
0.37,2
0.39,2
0.43,2
